x,y,z,r,vel,accel,suction_gripper,dwell_time,move_type,label
174.8187,-107.0179,-18.7913,-31.4735,100.0,100.0,0,0.0,MOVJ,새원점
3.3185,-224.4474,-12.3084,-89.153,100.0,100.0,0,0.0,MOVJ,흡착 위
3.3185,-224.4474,-58.7801,-89.153,100.0,100.0,0,0.0,MOVJ,흡착 위치
3.3185,-224.4474,-58.7801,-89.153,100.0,100.0,1,0.0,MOVJ,흡착
3.3185,-224.4474,-58.7801,-89.153,100.0,100.0,1,0.0,MOVJ,흡착
3.3185,-224.4474,-58.7801,-89.153,100.0,100.0,1,0.0,MOVJ,흡착
3.3185,-224.4474,-58.7801,-89.153,100.0,100.0,1,0.0,MOVJ,흡착
3.3185,-224.4474,-58.7801,-89.153,100.0,100.0,1,0.0,MOVJ,흡착
3.3185,-224.4474,-12.3084,-89.153,100.0,100.0,1,0.0,MOVJ,흡착 위
183.3598,-121.6611,100.2848,-33.5647,100.0,100.0,1,0.0,MOVJ,1차 이동
192.776,50.7326,126.1451,14.7441,100.0,100.0,1,0.0,MOVJ,2차이동
269.9418,56.6832,125.1828,11.8588,100.0,100.0,1,0.0,MOVJ,놓기 위
271.7672,60.6154,100.0,12.5735,100.0,100.0,1,0.0,MOVJ,놓기 위치
271.7672,60.6154,100.0,12.5735,100.0,100.0,0,0.0,MOVJ,놓기
269.9418,56.6832,125.1828,11.8588,100.0,100.0,0,0.0,MOVJ,놓기 위
192.776,50.7326,126.1451,14.7441,100.0,100.0,0,0.0,MOVJ,2차이동
183.3598,-121.6611,100.2848,-33.5647,100.0,100.0,0,0.0,MOVJ,1차 이동
174.8187,-107.0179,-18.7913,-31.4735,100.0,100.0,0,0.0,MOVJ,새원점
